[Bandit, PEKKA, Mega knight, Goblin, Goblin machine, Mini PEKKA]
[PEKKA, Goblin, Goblin machine, Golden knight, Prince, Mini PEKKA]
[PEKKA, Spear goblin, Goblin machine, Prince, Princess, Mini PEKKA]
[PEKKA, Golden knight, Prince, Royal ghost, Skeleton king, Mini PEKKA]
[PEKKA, Musketeer, Prince, Witch, Skeleton king, Mini PEKKA]
[Executioner, Mega knight, Archer queen, Barbarian, Spear goblin, Dart goblin]
[Executioner, Mega knight, Barbarian, Valkyrie, Spear goblin, Goblin machine]
[Executioner, Mega knight, Goblin, Spear goblin, Golden knight, Prince]
[Executioner, Archer queen, Electro giant, Wizard, Royal giant, Monk]
[Executioner, Archer queen, Wizard, Witch, Skeleton dragon, Monk]
[Executioner, Barbarian, Wizard, Musketeer, Prince, Monk]
[Executioner, Valkyrie, Wizard, Witch, Skeleton king, Monk]
[Executioner, Electro giant, Spear goblin, Dart goblin, Royal giant, Monk]
[Executioner, Goblin, Spear goblin, Golden knight, Musketeer, Monk]
[Executioner, Goblin, Spear goblin, Royal ghost, Witch, Monk]
[Executioner, Spear goblin, Goblin machine, Witch, Skeleton king, Monk]
[Executioner, Spear goblin, Dart goblin, Witch, Skeleton dragon, Monk]
[Executioner, Golden knight, Princess, Royal ghost, Witch, Monk]
[Mega knight, Archer queen, Barbarian, Electro giant, Royal giant, Monk]
[Mega knight, Archer queen, Barbarian, Witch, Skeleton dragon, Monk]
[Mega knight, Barbarian, Valkyrie, Witch, Skeleton king, Monk]
[Mega knight, Barbarian, Wizard, Musketeer, Princess, Monk]
[Mega knight, Golden knight, Prince, Royal ghost, Witch, Monk]
[Archer queen, Barbarian, Electro giant, Musketeer, Prince, Royal giant]
[Archer queen, Barbarian, Goblin, Dart goblin, Golden knight, Prince]
[Archer queen, Barbarian, Spear goblin, Dart goblin, Prince, Princess]
[Archer queen, Barbarian, Golden knight, Prince, Royal ghost, Skeleton dragon]
[Archer queen, Barbarian, Musketeer, Prince, Witch, Skeleton dragon]
[Archer queen, Valkyrie, Electro giant, Witch, Skeleton king, Royal giant]
[Archer queen, Valkyrie, Goblin, Goblin machine, Royal ghost, Skeleton dragon]
[Archer queen, Valkyrie, Goblin, Dart goblin, Royal ghost, Skeleton king]
[Archer queen, Electro giant, Wizard, Musketeer, Princess, Royal giant]
[Archer queen, Wizard, Goblin, Spear goblin, Royal ghost, Skeleton dragon]
[Archer queen, Wizard, Goblin, Dart goblin, Golden knight, Princess]
[Archer queen, Wizard, Spear goblin, Goblin machine, Skeleton king, Skeleton dragon]
[Archer queen, Wizard, Golden knight, Princess, Royal ghost, Skeleton dragon]
[Archer queen, Wizard, Musketeer, Princess, Witch, Skeleton dragon]
[Barbarian, Valkyrie, Goblin, Goblin machine, Golden knight, Prince]
[Barbarian, Valkyrie, Spear goblin, Goblin machine, Prince, Princess]
[Barbarian, Valkyrie, Golden knight, Prince, Royal ghost, Skeleton king]
[Barbarian, Valkyrie, Musketeer, Prince, Witch, Skeleton king]
[Barbarian, Wizard, Goblin, Spear goblin, Golden knight, Prince]
[Valkyrie, Wizard, Goblin, Spear goblin, Royal ghost, Skeleton king]
[Valkyrie, Wizard, Goblin, Goblin machine, Golden knight, Princess]
[Valkyrie, Wizard, Spear goblin, Dart goblin, Skeleton king, Skeleton dragon]
[Valkyrie, Wizard, Golden knight, Princess, Royal ghost, Skeleton king]
[Valkyrie, Wizard, Musketeer, Princess, Witch, Skeleton king]
[Electro giant, Goblin, Dart goblin, Golden knight, Musketeer, Royal giant]
[Electro giant, Goblin, Dart goblin, Royal ghost, Witch, Royal giant]
[Electro giant, Spear goblin, Dart goblin, Musketeer, Princess, Royal giant]
[Electro giant, Goblin machine, Dart goblin, Witch, Skeleton king, Royal giant]
[Electro giant, Golden knight, Musketeer, Royal ghost, Skeleton dragon, Royal giant]
[Goblin, Spear goblin, Musketeer, Princess, Royal ghost, Witch]
[Goblin, Goblin machine, Golden knight, Musketeer, Witch, Skeleton king]
[Goblin, Dart goblin, Golden knight, Musketeer, Witch, Skeleton dragon]
[Spear goblin, Goblin machine, Golden knight, Princess, Royal ghost, Skeleton king]
[Spear goblin, Goblin machine, Musketeer, Princess, Witch, Skeleton king]
[Spear goblin, Dart goblin, Golden knight, Princess, Royal ghost, Skeleton dragon]
[Spear goblin, Dart goblin, Musketeer, Princess, Witch, Skeleton dragon]
